client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Bennett / Ste-Catherine#0#3581#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#du Square Ahmerst / Wolfe#0#5767#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Elsdale / Louis-Hébert#0#4128#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Jolicoeur (Drake / de Sève)#0#3591#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Jean-Brillant / McKenna#0#8609#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Métro Lasalle (de Rushbrooke / Caisse)#0#7251#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Belmore / Sherbrooke#0#1838#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Berlioz / de l'Île des Soeurs#0#2935#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Benny / de Monkland#0#3687#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Argyle / Bannantyne#0#1459#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Belmont / du Beaver Hall#0#6155#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Union / President-Kennedy#0#6743#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Cathcart / Union#0#9055#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Gordon / Wellington#0#4588#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#St-Charles / Montarville#0#385#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#McKenna / Édouard-Montpetit#0#4040#"
client-1              | time="2023-05-22 00:56:33" level=info msg="action: query_request | result: success | msg: Query 2: montreal#Cartier / Masson#0#7451#"
